measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Larynx cancer,Number,2014,111134.83148291841,115980.76378484882,106194.65290858073
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2014,1799302.735837366,1890258.70200173,1700096.1914314236
Deaths,Global,Both,All Ages,Breast cancer,Number,2014,618873.6471642233,647064.2357650566,584947.9312352743
Deaths,Global,Both,All Ages,Cervical cancer,Number,2014,257080.91869396175,284172.55356081924,224418.71623495154
Deaths,Global,Both,All Ages,Uterine cancer,Number,2014,83309.06999855711,90368.56995244874,76013.4097738811
Deaths,Global,Both,All Ages,Prostate cancer,Number,2014,415832.79732103954,507011.96006091847,357714.32315823744
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,2014,931530.0617858744,973788.1650102098,872172.1499488817
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,2014,174485.78541341703,183536.7530097667,164985.33086939307
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,2014,64838.92446377094,68707.8566415479,60914.240779905005
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2014,97209.81459266704,102326.43391087276,92536.25968533462
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2014,152928.0442588283,162974.2857991824,130148.77643388193
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2014,443256.6544399666,461965.6301861438,415468.48414962407
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2014,57391.95029658482,63373.23915639917,42106.584455556214
